"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"421","JB277830","5/25/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",9,"BRIDGEPORT",11,"BONA FIDE",NA,0
"422","JB280981","5/27/2018 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"UNFOUNDED",NA,1
"423","JB282891","5/28/2018 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",8,"CHICAGO LAWN",15,"UNFOUNDED",NA,1
"424","JB283526","5/25/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",43,"BONA FIDE",NA,0
"425","JB288397","6/1/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"KENWOOD",4,"BONA FIDE",NA,1
"426","JB290406","6/2/2018 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"427","JB293648","6/5/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LAKE VIEW",32,"BONA FIDE",NA,1
"428","JB304685","6/13/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",1,"DOUGLAS",2,"BONA FIDE",NA,0
"429","JB307585","6/15/2018 12:00:00 AM","460","BATTERY: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"430","JB310561","6/16/2018 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",17,"IRVING PARK",30,"BONA FIDE",NA,0
"431","JB311762","6/15/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",19,"LINCOLN PARK",43,"BONA FIDE",NA,0
"432","JB319299","6/23/2018 12:00:00 AM","5003","OTHER OFFENSE: OTHER ARSON/EXPLOSIVE INCIDENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"OHARE",41,"BONA FIDE",NA,1
"433","JB319880","6/23/2018 12:00:00 AM","496","BATTERY: AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"434","JB321467","6/25/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"ROSELAND",34,"BONA FIDE",NA,1
"435","JB333026","7/3/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",9,"NEW CITY",16,"BONA FIDE",NA,1
"436","JB335724","7/4/2018 12:00:00 AM","1535","OBSCENITY: OBSCENITY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",9,"FULLER PARK",3,"BONA FIDE",NA,0
"437","JB335724","7/4/2018 12:00:00 AM","1535","OBSCENITY: OBSCENITY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",9,"FULLER PARK",20,"BONA FIDE",NA,0
"438","JB337194","7/4/2018 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",10,"SOUTH LAWNDALE",22,"BONA FIDE",NA,0
"439","JB338215","7/5/2018 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","South",6,"CHATHAM",17,"BONA FIDE",NA,1
"440","JB357478","7/19/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"HYDE PARK",4,"BONA FIDE",NA,0
"441","JB360110","7/22/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"PORTAGE PARK",38,"BONA FIDE",NA,1
"442","JB374662","8/1/2018 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",10,"SOUTH LAWNDALE",12,"BONA FIDE",NA,1
"443","JB385113","8/8/2018 12:00:00 AM","1780","OFFENSE INVOLVING CHILDREN: OTHER OFFENSE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"444","JB390690","8/12/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"LOWER WEST SIDE",25,"BONA FIDE",NA,1
"445","JB391975","8/12/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",14,"WEST TOWN",1,"BONA FIDE",NA,0
"446","JB395513","8/16/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",2,"BONA FIDE",NA,1
