"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"867","JF307230","7/6/2022 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"868","JF307769","7/6/2022 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"869","JF308956","7/7/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-JEWISH","North",16,"PORTAGE PARK",45,"BONA FIDE",NA,1
"870","JF309901","7/8/2022 12:00:00 AM","452","BATTERY: AGGRAVATED PO: KNIFE/CUT INSTR","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"871","JF309946","7/8/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-JEWISH","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"872","JF310068","7/7/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"873","JF310216","7/8/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",8,"CHICAGO LAWN",17,"BONA FIDE",NA,1
"874","JF311839","7/10/2022 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"875","JF312061","7/10/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"876","JF312213","7/9/2022 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",17,"PORTAGE PARK",45,"BONA FIDE",NA,0
"877","JF314184","7/12/2022 12:00:00 AM","051a","ASSAULT: AGGRAVATED: HANDGUN","F - GENDER IDENTITY"," ANTI-TRANSGENDER","South",4,"SOUTH SHORE",7,"BONA FIDE",NA,1
"878","JF317917","7/12/2022 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"879","JF318805","7/15/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"HEGEWISCH",10,"BONA FIDE",NA,0
"880","JF321817","7/18/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",24,"ROGERS PARK",40,"BONA FIDE",NA,1
"881","JF321963","7/18/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"MOUNT GREENWOOD",19,"BONA FIDE",NA,1
"882","JF323315","7/16/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"883","JF323340","7/19/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-JEWISH","Central",2,"KENWOOD",4,"BONA FIDE",NA,0
"884","JF324342","7/20/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"NORTH CENTER",47,"BONA FIDE",NA,0
"885","JF330192","7/24/2022 12:00:00 AM","2860","PUBLIC PEACE VIOLATION: FALSE POLICE REPORT","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","North",16,"DUNNING",38,"BONA FIDE",NA,0
"886","JF330718","7/25/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"887","JF331944","7/26/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"ENGLEWOOD",20,"BONA FIDE",NA,1
"888","JF332111","7/19/2022 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"889","JF334892","6/1/2022 12:00:00 AM","520","ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"MONTCLARE",36,"BONA FIDE",NA,1
"890","JF335146","7/28/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",9,"BRIGHTON PARK",12,"BONA FIDE",NA,1
"891","JF336377","7/29/2022 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",14,"HUMBOLDT PARK",26,"BONA FIDE",NA,1
"892","JF338344","7/31/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",14,"HUMBOLDT PARK",26,"BONA FIDE",NA,1
"893","JF338504","7/31/2022 12:00:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-PROTESTANT","North",19,"LINCOLN SQUARE",47,"BONA FIDE",NA,0
"894","JF340679","8/1/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"LINCOLN PARK",32,"BONA FIDE",NA,1
"895","JF341151","8/2/2022 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",12,"NEAR WEST SIDE",25,"BONA FIDE",NA,1
"896","JF341151","8/2/2022 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",12,"NEAR WEST SIDE",28,"BONA FIDE",NA,1
"897","JF342917","7/30/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"898","JF343203","8/3/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"MONTCLARE",36,"BONA FIDE",NA,0
"899","JF343377","8/3/2022 12:00:00 AM","420","BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",12,"NEAR WEST SIDE",2,"BONA FIDE",NA,1
"900","JF347164","8/6/2022 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"901","JF350899","8/9/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"DUNNING",38,"UNDETERMINED",NA,1
"902","JF351015","8/9/2022 12:00:00 AM","495","BATTERY: AGGRAVATED OF A SENIOR CITIZEN","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",19,"LINCOLN PARK",43,"BONA FIDE",NA,1
"903","JF352600","8/11/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",4,"CALUMET HEIGHTS",7,"DUPLICATE",NA,1
"904","JF352612","8/11/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",4,"CALUMET HEIGHTS",7,"BONA FIDE",NA,1
"905","JF356096","8/14/2022 12:00:00 AM","142","HOMICIDE: RECKLESS HOMICIDE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",3,"SOUTH SHORE",5,"BONA FIDE",NA,1
"906","JF358287","8/16/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","South",22,"WASHINGTON HEIGHTS",34,"BONA FIDE",NA,0
"907","JF367767","8/23/2022 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"908","JF369919","8/25/2022 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",22,"MORGAN PARK",34,"BONA FIDE",NA,1
"909","JF370407","8/8/2022 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"NEAR WEST SIDE",2,"BONA FIDE",NA,0
"910","JF372860","8/27/2022 12:00:00 AM","440","BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"911","JF374782","8/11/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"PORTAGE PARK",38,"BONA FIDE",NA,1
"912","JF377670","8/31/2022 12:00:00 AM","051B","ASSAULT: AGGRAVATED: OTHER FIREARM","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,1
"913","JF378954","9/1/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"EAST SIDE",10,"BONA FIDE",NA,1
"914","JF383243","9/2/2022 12:00:00 AM","1153","DECEPTIVE PRACTICE: FINANCIAL IDENTITY THEFT OVER $ 300","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",7,"KENWOOD",4,"BONA FIDE",NA,0
"915","JF387780","9/7/2022 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"916","JF387792","9/8/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"EAST GARFIELD PARK",28,"BONA FIDE",NA,1
"917","JF391252","9/10/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",25,"BELMONT CRAGIN",30,"BONA FIDE",NA,1
"918","JF391313","9/10/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"WEST GARFIELD PARK",28,"BONA FIDE",NA,1
"919","JF391325","9/10/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,1
"920","JF392051","9/8/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"921","JF392215","9/11/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"LINCOLN PARK",43,"BONA FIDE",NA,1
"922","JF397052","9/15/2022 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,1
"923","JF400237","9/17/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LINCOLN SQUARE",47,"BONA FIDE",NA,1
"924","JF401218","9/18/2022 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",14,"LOGAN SQUARE",35,"BONA FIDE",NA,1
"925","JF401888","9/19/2022 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",8,"ASHBURN",13,"BONA FIDE",NA,0
"926","JF405698","9/21/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",20,"WEST RIDGE",40,"BONA FIDE",NA,1
"927","JF408102","9/23/2022 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",25,"BONA FIDE",NA,0
"928","JF414208","9/26/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","South",22,"MOUNT GREENWOOD",19,"BONA FIDE",NA,1
"929","JF414366","9/28/2022 12:00:00 AM","520","ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","North",17,"ALBANY PARK",39,"BONA FIDE",NA,1
"930","JF414863","9/23/2022 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"931","JF418493","10/1/2022 12:00:00 AM","051a","ASSAULT: AGGRAVATED: HANDGUN","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",11,"EAST GARFIELD PARK",24,"UNDETERMINED",NA,1
"932","JF418886","10/2/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",15,"AUSTIN",28,"BONA FIDE",NA,1
"933","JF421444","9/20/2022 12:00:00 AM","520","ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",17,"NORTH PARK",39,"BONA FIDE",NA,1
"934","JF428734","10/9/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",20,"EDGEWATER",48,"UNDETERMINED",NA,1
"935","JF430429","10/11/2022 12:00:00 AM","1330","CRIMINAL TRESPASS: TO LAND","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"936","JF430429","10/11/2022 12:52:00 PM","1330","CRIMINAL TRESPASS: TO LAND","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"937","JF435363","10/15/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",16,"JEFFERSON PARK",45,"BONA FIDE",NA,0
"938","JF436732","10/16/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"UNDETERMINED",NA,1
"939","JF439202","10/18/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"940","JF440861","10/18/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",32,"BONA FIDE",NA,0
"941","JF441902","10/20/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"EAST SIDE",10,"UNDETERMINED",NA,1
"942","JF443945","10/22/2022 12:00:00 AM","545","ASSAULT: PRO EMP HANDS NO/MIN INJURY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"ENGLEWOOD",6,"UNDETERMINED",NA,1
"943","JF444949","10/22/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",1,"LOOP",2,"UNDETERMINED",NA,1
"944","JF444949","10/22/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",1,"LOOP",4,"UNDETERMINED",NA,1
"945","JF446242","10/23/2022 12:00:00 AM","051a","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",25,"BELMONT CRAGIN",31,"BONA FIDE",NA,1
"946","JF446316","10/23/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","South",4,"SOUTH CHICAGO",7,"BONA FIDE",NA,1
"947","JF448590","10/21/2022 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"948","JF453982","10/29/2022 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"ROGERS PARK",49,"UNDETERMINED",NA,0
"949","JF455630","10/30/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",16,"OHARE",41,"UNDETERMINED",NA,0
"950","JF456817","10/31/2022 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",17,"IRVING PARK",33,"UNDETERMINED",NA,0
"951","JF458017","11/1/2022 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"WEST ENGLEWOOD",16,"BONA FIDE",NA,1
"952","JF459664","11/2/2022 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",46,"BONA FIDE",NA,1
"953","JF460316","11/3/2022 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,0
"954","JF461308","11/3/2022 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","Central",18,"LINCOLN PARK",43,"BONA FIDE",NA,1
"955","JF461689","11/3/2022 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"956","JF462014","11/2/2022 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"957","JF468504","11/8/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"NORTH CENTER",47,"BONA FIDE",NA,0
"958","JF468504","11/9/2022 12:00:00 AM","3960","INTIMIDATION: INTIMIDATION","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",19,"NORTH CENTER",47,"BONA FIDE",NA,0
"959","JF468687","11/9/2022 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"960","JF469607","11/10/2022 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",3,"WOODLAWN",5,"UNDETERMINED",NA,0
"961","JF474707","11/14/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"962","JF483033","11/20/2022 12:00:00 AM","479","BATTERY: AGG: HANDS/FIST/FEET SERIOUS INJURY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"NEAR NORTH SIDE",27,"BONA FIDE",NA,1
"963","JF484847","11/23/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"964","JF487181","11/25/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",17,"AVONDALE",33,"BONA FIDE",NA,1
"965","JF488221","11/25/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","South",22,"MORGAN PARK",19,"BONA FIDE",NA,1
"966","JF489314","11/27/2022 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"967","JF491701","11/29/2022 12:00:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"968","JF491840","11/29/2022 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LINCOLN SQUARE",40,"BONA FIDE",NA,0
"969","JF491840","11/29/2022 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LINCOLN SQUARE",47,"BONA FIDE",NA,0
"970","JF494617","11/30/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",12,"NEAR WEST SIDE",25,"BONA FIDE",NA,1
"971","JF495403","12/2/2022 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",9,"BRIGHTON PARK",12,"BONA FIDE",NA,0
"972","JF496922","12/3/2022 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","North",20,"UPTOWN",48,"BONA FIDE",NA,0
"973","JF497326","12/4/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",27,"BONA FIDE",NA,1
"974","JF499021","12/5/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"975","JF499619","12/5/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"976","JF503153","12/8/2022 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",20,"LINCOLN SQUARE",47,"BONA FIDE",NA,0
"977","JF506348","12/11/2022 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",17,"NORTH PARK",39,"BONA FIDE",NA,1
"978","JF508625","12/13/2022 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"979","JF510103","12/14/2022 12:00:00 AM","3960","INTIMIDATION: INTIMIDATION","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"980","JF510964","12/13/2022 12:00:00 AM","530","ASSAULT: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"981","JF516758","12/19/2022 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"JEFFERSON PARK",45,"BONA FIDE",NA,0
"982","JF519412","12/22/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",12,"WEST TOWN",1,"BONA FIDE",NA,1
"983","JF519412","12/22/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",12,"WEST TOWN",32,"BONA FIDE",NA,1
"984","JF520268","12/22/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","Central",18,"NEAR NORTH SIDE",27,"BONA FIDE",NA,1
"985","JF521653","12/17/2022 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","Central",1,"NEAR WEST SIDE",42,"BONA FIDE",NA,0
"986","JF523141","12/26/2022 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"HYDE PARK",5,"BONA FIDE",NA,1
"987","JF527014","12/29/2022 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"AUBURN GRESHAM",21,"BONA FIDE",NA,1
